epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.86647,1.71987,5.63494,2.14943,0.0026,0.01667,0.00113,0.00011,3.38079,5.37069,2.8625,0,0,0
2,2.47136,1.99191,5.79232,2.41334,0.00228,0.01667,0.00113,0.00023,3.29345,5.51807,2.82852,1.17822e-06,1.17822e-06,1.17822e-06
3,3.11881,1.99095,5.72703,2.28045,0.00228,0.01667,0.00122,0.00037,3.29987,5.57429,2.82983,2.33288e-06,2.33288e-06,2.33288e-06
4,4.25297,2.42408,5.56928,2.58179,0.00235,0.01667,0.00144,0.00041,3.30746,5.48359,2.87902,3.46397e-06,3.46397e-06,3.46397e-06
5,5.38586,2.01702,5.51037,2.47042,0.00249,0.01667,0.00144,0.00029,3.25901,5.56873,2.91377,4.5715e-06,4.5715e-06,4.5715e-06
6,6.34964,2.50024,5.58238,2.68378,0.00253,0.01667,0.00144,0.00043,3.24021,5.55186,2.91659,5.65548e-06,5.65548e-06,5.65548e-06
7,7.4379,2.35775,5.82619,2.54232,0.00256,0.01667,0.00158,0.00047,3.21361,5.67843,2.92363,6.71588e-06,6.71588e-06,6.71588e-06
8,8.51589,2.01929,5.82605,2.39305,0.00269,0.01667,0.00144,0.00029,3.16005,5.51152,2.94137,7.75273e-06,7.75273e-06,7.75273e-06
9,10.4567,2.15877,5.57811,2.37376,0.00256,0.01667,0.00093,0.00028,3.15345,5.37289,2.93365,8.76602e-06,8.76602e-06,8.76602e-06
10,12.0807,1.74942,5.27502,2.05853,0.00249,0.01667,0.00075,0.00015,3.15265,5.28648,2.94249,9.75574e-06,9.75574e-06,9.75574e-06
11,13.8605,2.24392,5.50742,2.76163,0.00245,0.01667,0.00044,9e-05,3.17383,5.26358,2.96755,1.07219e-05,1.07219e-05,1.07219e-05
12,15.1107,2.10823,5.51147,2.33024,0.00256,0.01667,0.00043,9e-05,3.16489,5.28337,3.01606,1.16645e-05,1.16645e-05,1.16645e-05
13,16.3294,2.68306,5.63705,3.06447,0.00242,0.01667,0.00034,7e-05,3.09474,5.38819,2.991,1.25835e-05,1.25835e-05,1.25835e-05
14,17.4277,1.83656,5.44402,2.14873,0.00242,0.01667,0.00034,0.00013,3.03408,5.4968,2.96899,1.3479e-05,1.3479e-05,1.3479e-05
15,18.5407,2.29862,5.60405,2.43382,0.00249,0.01667,0.00031,0.00016,3.00445,5.54598,2.96687,1.43509e-05,1.43509e-05,1.43509e-05
16,19.6552,2.33706,5.41643,2.37843,0.00256,0.01667,0.00034,0.0002,2.98072,5.51663,2.98935,1.51993e-05,1.51993e-05,1.51993e-05
17,20.7729,1.6816,5.52106,2.0356,0.00249,0.01667,0.00035,0.00025,2.92376,5.54052,2.98309,1.60241e-05,1.60241e-05,1.60241e-05
18,21.8443,1.49876,5.26343,2.00003,0.00249,0.01667,0.00035,0.00025,2.92376,5.54052,2.98309,1.68253e-05,1.68253e-05,1.68253e-05
19,22.9383,1.52514,5.1596,2.07152,0.00256,0.01667,0.00053,0.00027,2.8644,5.50137,2.95552,1.7603e-05,1.7603e-05,1.7603e-05
20,23.9951,2.12911,5.53537,2.66362,0.00256,0.01667,0.00053,0.00027,2.8644,5.50137,2.95552,1.83571e-05,1.83571e-05,1.83571e-05
21,25.1102,1.74301,5.3157,2.02191,0.00245,0.01667,0.00043,0.00013,2.87888,5.42237,2.99824,1.90876e-05,1.90876e-05,1.90876e-05
22,26.1857,1.81576,5.21155,2.16121,0.00245,0.01667,0.00043,0.00013,2.87888,5.42237,2.99824,1.97946e-05,1.97946e-05,1.97946e-05
23,27.3081,1.81432,5.1811,2.30445,0.00287,0.01667,0.00088,0.00027,2.8874,5.39765,2.96415,2.0478e-05,2.0478e-05,2.0478e-05
24,29.4515,1.56326,5.33756,1.85497,0.00287,0.01667,0.00088,0.00027,2.8874,5.39765,2.96415,2.11379e-05,2.11379e-05,2.11379e-05
25,30.6822,1.72628,5.25866,1.94532,0.00292,0.01667,0.00099,0.0002,2.87252,5.34474,2.9973,2.17741e-05,2.17741e-05,2.17741e-05
26,31.7602,1.86484,5.38481,1.87885,0.00292,0.01667,0.00099,0.0002,2.87252,5.34474,2.9973,2.23869e-05,2.23869e-05,2.23869e-05
27,32.8666,1.82704,5.25595,2.02255,0.00273,0.01667,0.00075,0.00023,2.88896,5.34273,3.01043,2.2976e-05,2.2976e-05,2.2976e-05
28,33.9161,2.04685,5.37109,2.02895,0.00273,0.01667,0.00075,0.00023,2.88896,5.34273,3.01043,2.35417e-05,2.35417e-05,2.35417e-05
29,35.0342,1.87186,5.21178,2.27576,0.00309,0.01667,0.00079,0.00027,2.85204,5.37066,2.97026,2.40837e-05,2.40837e-05,2.40837e-05
30,36.1162,1.27977,4.95596,1.80517,0.00309,0.01667,0.00079,0.00027,2.85204,5.37066,2.97026,2.46022e-05,2.46022e-05,2.46022e-05
31,37.2256,1.66075,5.30843,2.19203,0.00314,0.01667,0.00069,0.00021,2.76646,5.32116,2.93689,2.50971e-05,2.50971e-05,2.50971e-05
32,38.2891,1.20381,5.11949,1.80195,0.00314,0.01667,0.00069,0.00021,2.76646,5.32116,2.93689,2.55685e-05,2.55685e-05,2.55685e-05
33,39.3999,1.57318,5.13875,1.93093,0.00347,0.01667,0.00057,0.00017,2.77832,5.38304,2.95935,2.60163e-05,2.60163e-05,2.60163e-05
34,40.4588,1.83333,5.30437,2.12866,0.00347,0.01667,0.00057,0.00017,2.77832,5.38304,2.95935,2.64405e-05,2.64405e-05,2.64405e-05
35,41.5519,1.92916,4.99132,2.00557,0.00362,0.01667,0.00053,0.00016,2.7767,5.3832,2.95043,2.68412e-05,2.68412e-05,2.68412e-05
36,42.6066,1.50061,4.96324,1.87273,0.00362,0.01667,0.00053,0.00016,2.7767,5.3832,2.95043,2.72183e-05,2.72183e-05,2.72183e-05
37,43.7288,1.41764,5.0317,1.90182,0.00388,0.01667,0.00049,0.00015,2.77585,5.37776,2.96871,2.75718e-05,2.75718e-05,2.75718e-05
38,44.7894,1.88416,5.07753,1.8722,0.00388,0.01667,0.00049,0.00015,2.77585,5.37776,2.96871,2.79018e-05,2.79018e-05,2.79018e-05
39,45.8976,1.47548,4.87161,1.69893,0.00379,0.01667,0.00057,0.00034,2.76403,5.37034,2.96639,2.82082e-05,2.82082e-05,2.82082e-05
40,46.8932,1.50319,5.01806,1.81399,0.00379,0.01667,0.00057,0.00034,2.76403,5.37034,2.96639,2.84911e-05,2.84911e-05,2.84911e-05
41,47.8626,1.75501,4.84968,1.97434,0.00388,0.01667,0.00061,0.00038,2.76297,5.35799,2.98147,2.87504e-05,2.87504e-05,2.87504e-05
42,48.8074,1.74668,4.93288,1.96895,0.00388,0.01667,0.00061,0.00038,2.76297,5.35799,2.98147,2.89861e-05,2.89861e-05,2.89861e-05
43,50.4133,1.65791,4.77639,2.04457,0.00417,0.01667,0.00061,0.00039,2.77749,5.35555,2.99417,2.91983e-05,2.91983e-05,2.91983e-05
44,51.3838,1.5946,5.02558,1.98413,0.00417,0.01667,0.00061,0.00039,2.77749,5.35555,2.99417,2.93869e-05,2.93869e-05,2.93869e-05
45,52.3944,1.36509,4.63436,1.87133,0.00439,0.01667,0.00083,0.00058,2.77357,5.36222,3.02186,2.9552e-05,2.9552e-05,2.9552e-05
46,53.4567,1.67747,4.92164,1.85749,0.00439,0.01667,0.00083,0.00058,2.77357,5.36222,3.02186,2.96935e-05,2.96935e-05,2.96935e-05
47,54.5489,1.48604,4.9316,1.94018,0.00476,0.01667,0.00106,0.00074,2.77799,5.35638,2.99551,2.98114e-05,2.98114e-05,2.98114e-05
48,55.6152,1.30038,4.74273,1.76131,0.00476,0.01667,0.00106,0.00074,2.77799,5.35638,2.99551,2.99058e-05,2.99058e-05,2.99058e-05
49,56.7382,1.16291,4.70797,1.7367,0.00476,0.01667,0.00132,0.00092,2.77059,5.36899,2.99775,2.99766e-05,2.99766e-05,2.99766e-05
50,57.7938,1.2474,4.57214,1.67879,0.00476,0.01667,0.00132,0.00092,2.77059,5.36899,2.99775,3.00238e-05,3.00238e-05,3.00238e-05
51,58.8902,1.49024,4.78292,1.87481,0.00538,0.01667,0.00144,0.00101,2.76794,5.37357,2.99763,3.00475e-05,3.00475e-05,3.00475e-05
52,64.0671,1.35056,4.68981,1.76786,0.00538,0.01667,0.00144,0.00101,2.76794,5.37357,2.99763,3.00476e-05,3.00476e-05,3.00476e-05
53,68.6833,1.37136,4.69668,1.7872,0.00538,0.01667,0.00144,0.00101,2.76794,5.37357,2.99763,3.00242e-05,3.00242e-05,3.00242e-05
54,70.1055,1.22131,4.58673,1.76153,0.00575,0.01667,0.00132,0.00092,2.79571,5.41855,3.03601,2.99772e-05,2.99772e-05,2.99772e-05
55,71.0489,1.24363,4.58643,1.71224,0.00575,0.01667,0.00132,0.00092,2.79571,5.41855,3.03601,2.99066e-05,2.99066e-05,2.99066e-05
56,72.0114,1.13883,4.20648,1.76491,0.00575,0.01667,0.00132,0.00092,2.79571,5.41855,3.03601,2.98125e-05,2.98125e-05,2.98125e-05
57,72.984,1.0561,4.52809,1.49976,0.00641,0.01667,0.00144,0.00101,2.79951,5.43498,3.03685,2.96948e-05,2.96948e-05,2.96948e-05
58,74.0681,1.14402,4.42437,1.5912,0.00641,0.01667,0.00144,0.00101,2.79951,5.43498,3.03685,2.95535e-05,2.95535e-05,2.95535e-05
59,75.1439,1.59835,4.67152,1.82011,0.00641,0.01667,0.00144,0.00101,2.79951,5.43498,3.03685,2.93887e-05,2.93887e-05,2.93887e-05
60,77.0151,1.51548,4.54345,1.99596,0.00617,0.01667,0.00176,0.00123,2.81322,5.4301,3.0568,2.92003e-05,2.92003e-05,2.92003e-05
61,83.3244,1.52563,4.55009,1.69653,0.00617,0.01667,0.00176,0.00123,2.81322,5.4301,3.0568,2.89884e-05,2.89884e-05,2.89884e-05
62,85.4087,1.25211,4.27933,1.65073,0.00617,0.01667,0.00176,0.00123,2.81322,5.4301,3.0568,2.87529e-05,2.87529e-05,2.87529e-05
63,86.7302,1.35386,4.67314,1.94524,0.00556,0.01667,0.00198,0.00139,2.80193,5.41808,3.0829,2.84938e-05,2.84938e-05,2.84938e-05
64,87.8878,1.20068,4.51361,1.66157,0.00556,0.01667,0.00198,0.00139,2.80193,5.41808,3.0829,2.82112e-05,2.82112e-05,2.82112e-05
